"Main.MR.results.Exposure" "Main.MR.results.MR.Analysis" "Main.MR.results.Causal.Estimate" "Main.MR.results.Sd" "Main.MR.results.T.stat" "Main.MR.results.P.value" "MR.PRESSO.results.Global.Test.RSSobs" "MR.PRESSO.results.Global.Test.Pvalue" "MR.PRESSO.results.Outlier.Test.RSSobs" "MR.PRESSO.results.Outlier.Test.Pvalue" "MR.PRESSO.results.Distortion.Test.Outliers.Indices" "MR.PRESSO.results.Distortion.Test.Distortion.Coefficient" "MR.PRESSO.results.Distortion.Test.Pvalue"
"14" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000803797496758109 "1" 161 8.49085364959108 0.879
"16" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000272833780579646 "1" 161 8.49085364959108 0.879
"17" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00488394691380871 "1" 161 8.49085364959108 0.879
"19" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 2.31096759928196e-05 "1" 161 8.49085364959108 0.879
"20" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000467584598738572 "1" 161 8.49085364959108 0.879
"21" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00178763965501759 "1" 161 8.49085364959108 0.879
"22" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000804750758978393 "1" 161 8.49085364959108 0.879
"23" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000253517429217388 "1" 161 8.49085364959108 0.879
"24" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 1.50126680753597e-05 "1" 161 8.49085364959108 0.879
"25" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00108615203902283 "1" 161 8.49085364959108 0.879
"26" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000389143005792442 "1" 161 8.49085364959108 0.879
"28" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000313994618818343 "1" 161 8.49085364959108 0.879
"29" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00123524023096977 "1" 161 8.49085364959108 0.879
"30" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 9.03880220996871e-05 "1" 161 8.49085364959108 0.879
"31" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.0165512487822893 "1" 161 8.49085364959108 0.879
"32" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00232640055915339 "1" 161 8.49085364959108 0.879
"33" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 7.23071533261337e-06 "1" 161 8.49085364959108 0.879
"34" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 8.80224412251021e-05 "1" 161 8.49085364959108 0.879
"35" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00713006464461568 "1" 161 8.49085364959108 0.879
"36" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000448523056139252 "1" 161 8.49085364959108 0.879
"38" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 7.0484131952834e-05 "1" 161 8.49085364959108 0.879
"39" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00173312267043217 "1" 161 8.49085364959108 0.879
"40" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00108242788511992 "1" 161 8.49085364959108 0.879
"41" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000330062854181419 "1" 161 8.49085364959108 0.879
"42" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000260221524761729 "1" 161 8.49085364959108 0.879
"44" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00592009697340436 "1" 161 8.49085364959108 0.879
"45" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.0122406132839274 "1" 161 8.49085364959108 0.879
"46" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00176152615290349 "1" 161 8.49085364959108 0.879
"47" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 2.02529182914689e-07 "1" 161 8.49085364959108 0.879
"48" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000492442818200858 "1" 161 8.49085364959108 0.879
"49" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00149708602065363 "1" 161 8.49085364959108 0.879
"50" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 5.38422156420112e-05 "1" 161 8.49085364959108 0.879
"51" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 2.93266648223749e-05 "1" 161 8.49085364959108 0.879
"52" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00106204178828632 "1" 161 8.49085364959108 0.879
"53" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000129845562829937 "1" 161 8.49085364959108 0.879
"54" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 7.64859868863415e-05 "1" 161 8.49085364959108 0.879
"55" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000108040725849089 "1" 161 8.49085364959108 0.879
"56" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.010122311076337 "1" 161 8.49085364959108 0.879
"57" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 1.27453053599339e-05 "1" 161 8.49085364959108 0.879
"58" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000517606344997273 "1" 161 8.49085364959108 0.879
"59" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00609802700616856 "1" 161 8.49085364959108 0.879
"60" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000261248869138245 "1" 161 8.49085364959108 0.879
"61" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.011521770054404 "1" 161 8.49085364959108 0.879
"62" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000348163405697177 "1" 161 8.49085364959108 0.879
"63" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 1.4193999739316e-06 "1" 161 8.49085364959108 0.879
"64" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 5.06444335802691e-05 "1" 161 8.49085364959108 0.879
"65" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00094038476526445 "1" 161 8.49085364959108 0.879
"66" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00219249401069508 "1" 161 8.49085364959108 0.879
"67" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000310401733937971 "1" 161 8.49085364959108 0.879
"68" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000308108725792133 "1" 161 8.49085364959108 0.879
"69" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000308242751345085 "1" 161 8.49085364959108 0.879
"70" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 8.08775852041411e-05 "1" 161 8.49085364959108 0.879
"71" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000105517880330681 "1" 161 8.49085364959108 0.879
"72" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00138381666605519 "1" 161 8.49085364959108 0.879
"73" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00208669018646307 "1" 161 8.49085364959108 0.879
"74" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000432548264619 "1" 161 8.49085364959108 0.879
"75" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000575098768261415 "1" 161 8.49085364959108 0.879
"76" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000344596471679515 "1" 161 8.49085364959108 0.879
"77" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000105296774139993 "1" 161 8.49085364959108 0.879
"78" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00451971081076505 "1" 161 8.49085364959108 0.879
"79" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00487034659453989 "1" 161 8.49085364959108 0.879
"80" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00166834929239425 "1" 161 8.49085364959108 0.879
"82" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000381087468672761 "1" 161 8.49085364959108 0.879
"83" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 1.46481794245921e-05 "1" 161 8.49085364959108 0.879
"84" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00449191010604736 "1" 161 8.49085364959108 0.879
"85" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000800992507980225 "1" 161 8.49085364959108 0.879
"86" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00124659440325353 "1" 161 8.49085364959108 0.879
"87" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.0011472004966677 "1" 161 8.49085364959108 0.879
"88" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 1.73630226709433e-05 "1" 161 8.49085364959108 0.879
"89" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00068306435591495 "1" 161 8.49085364959108 0.879
"90" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000670852607164162 "1" 161 8.49085364959108 0.879
"91" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00181616439209966 "1" 161 8.49085364959108 0.879
"92" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00161699890672342 "1" 161 8.49085364959108 0.879
"93" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 2.91888881063087e-09 "1" 161 8.49085364959108 0.879
"94" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00604238683591921 "1" 161 8.49085364959108 0.879
"95" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000533298396983595 "1" 161 8.49085364959108 0.879
"96" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000222667542011983 "1" 161 8.49085364959108 0.879
"97" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00749281941283393 "1" 161 8.49085364959108 0.879
"98" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000812711319510349 "1" 161 8.49085364959108 0.879
"99" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00213091682184294 "1" 161 8.49085364959108 0.879
"101" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 4.58223222056267e-05 "1" 161 8.49085364959108 0.879
"102" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000908143620912451 "1" 161 8.49085364959108 0.879
"103" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 8.84268864182757e-05 "1" 161 8.49085364959108 0.879
"104" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00345516330910248 "1" 161 8.49085364959108 0.879
"105" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 9.87502398283804e-07 "1" 161 8.49085364959108 0.879
"106" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00102310819511832 "1" 161 8.49085364959108 0.879
"107" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000349030449813964 "1" 161 8.49085364959108 0.879
"108" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 3.51739411101318e-05 "1" 161 8.49085364959108 0.879
"109" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 7.24231030643627e-05 "1" 161 8.49085364959108 0.879
"110" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000880193470981187 "1" 161 8.49085364959108 0.879
"111" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00105576315754249 "1" 161 8.49085364959108 0.879
"112" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 4.88031278738208e-06 "1" 161 8.49085364959108 0.879
"113" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000584113908565544 "1" 161 8.49085364959108 0.879
"114" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00017438401865865 "1" 161 8.49085364959108 0.879
"115" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00107103994266437 "1" 161 8.49085364959108 0.879
"116" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00128108119079937 "1" 161 8.49085364959108 0.879
"117" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000489792631269199 "1" 161 8.49085364959108 0.879
"118" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00160105756241992 "1" 161 8.49085364959108 0.879
"119" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00495651209057342 "1" 161 8.49085364959108 0.879
"120" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 3.97971590489963e-05 "1" 161 8.49085364959108 0.879
"121" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 3.28833010549868e-06 "1" 161 8.49085364959108 0.879
"122" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 3.78159178125006e-05 "1" 161 8.49085364959108 0.879
"123" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 1.09499296935259e-05 "1" 161 8.49085364959108 0.879
"124" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000342747293420503 "1" 161 8.49085364959108 0.879
"125" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00131490018653012 "1" 161 8.49085364959108 0.879
"126" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00236878465410973 "1" 161 8.49085364959108 0.879
"127" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00179230232856121 "1" 161 8.49085364959108 0.879
"128" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00101389825298084 "1" 161 8.49085364959108 0.879
"129" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00419495902198023 "1" 161 8.49085364959108 0.879
"130" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.0038308017969235 "1" 161 8.49085364959108 0.879
"132" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00458250229571481 "1" 161 8.49085364959108 0.879
"133" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000165636945329086 "1" 161 8.49085364959108 0.879
"134" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00121416122085307 "1" 161 8.49085364959108 0.879
"135" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00313020931827971 "1" 161 8.49085364959108 0.879
"136" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00339551461523407 "1" 161 8.49085364959108 0.879
"137" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00124952217449692 "1" 161 8.49085364959108 0.879
"138" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000898586249694115 "1" 161 8.49085364959108 0.879
"139" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00124998411913666 "1" 161 8.49085364959108 0.879
"140" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00610624822272086 "1" 161 8.49085364959108 0.879
"141" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00664789714051336 "1" 161 8.49085364959108 0.879
"142" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00254099973225585 "1" 161 8.49085364959108 0.879
"143" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000327559021227015 "1" 161 8.49085364959108 0.879
"144" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00224686383919121 "1" 161 8.49085364959108 0.879
"145" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.000293554702257485 "1" 161 8.49085364959108 0.879
"146" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00453138559101474 "1" 161 8.49085364959108 0.879
"147" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00178556874141199 "1" 161 8.49085364959108 0.879
"148" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000555402220936624 "1" 161 8.49085364959108 0.879
"149" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 5.75375661487153e-06 "1" 161 8.49085364959108 0.879
"150" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00164805898510175 "1" 161 8.49085364959108 0.879
"151" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00025640814102555 "1" 161 8.49085364959108 0.879
"152" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.00199402618462462 "1" 161 8.49085364959108 0.879
"153" "beta.exposure" "Outlier-corrected" -0.0854962895721027 0.0449318365966734 -1.90279979738092 0.0582064301093156 330.875894012022 0.001 0.00662509360643863 "1" 161 8.49085364959108 0.879
"154" "beta.exposure" "Raw" -0.0782369247487049 0.046080571691783 -1.69782886531887 0.0907696353003276 330.875894012022 0.001 0.000414018436397415 "1" 161 8.49085364959108 0.879
